"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Austin",238350,665,788,1019,1027,832,742,761,761,766,765,881,837,0.000612058879925302,0.590996573352099,0.184962406015038,0.293147208121827,0.00785083415112853,-0.189873417721519,-0.108173076923077,0.0256064690026954,0,0.00657030223390276,-0.00130548302872058,0.151633986928104,-0.0100856210323154,0.113489874013145,-0.0535302445596328,-0.0818360022919871,-0.188488244529551,-0.127754302459242,-0.0359529289479545,0.0421744739020775,0.0397472727440675,0.0495193759883441,0.0640194352271957,0.0101079957499924,"Finish Carpentry Contractors","2"
"Austin",238390,745,714,759,1044,562,533,577,713,706,757,899,967,0.0006245640556786,1.2050020537229,-0.0416107382550336,0.0630252100840336,0.375494071146245,-0.461685823754789,-0.0516014234875445,0.0825515947467168,0.235701906412478,-0.00981767180925663,0.0722379603399435,0.187582562747688,0.0147090088168147,0.141727104064766,0.0494438125064629,0.0385698198198199,-0.126714556790458,-0.0357591842436095,-0.0345582435977916,-0.0634211403801267,0.0519972942181715,0.0264818857133189,0.0370413108700669,-0.00511931554203474,"Other Building Finishing Contractors","2"
"Austin",238910,2849,3097,3113,4493,3519,3301,3171,4061,4164,4598,4930,4928,0.00342502869243103,1.31746437537531,0.087048087048087,0.00516628995802382,0.443302280758111,-0.216781660360561,-0.0619494174481386,-0.0393820054528931,0.280668558814254,0.0253632110317656,0.104226705091258,0.0722053066550674,-0.0000905417982822421,0.115597662598112,0.0307926432392558,0.0604190909172913,-0.192173442103263,-0.084542834778885,-0.0236263041052717,0.112617760132575,0.0124767494802824,0.0509129825491004,0.046668457907499,0.00155186644333016,"Site Preparation Contractors","2"
"Austin",238990,2467,2538,3062,2869,2428,2082,1973,2144,2156,2416,2712,2829,0.00188411314683022,0.990931615041206,0.0287798946088367,0.206461780929866,-0.0630306988896147,-0.153712094806553,-0.142504118616145,-0.0523535062439962,0.0866700456158134,0.00559701492537323,0.120593692022263,0.122516556291391,0.00846659960911489,0.141747310139578,0.0232523696682465,-0.0546285383454294,-0.142219111567988,-0.0632302019959917,-0.0143064008623036,0.0868523079981884,0.0173533476970609,0.0809562103223165,0.0663493750433195,0.00497813914398081,"All Other Specialty Trade Contractors","2"
"Austin",311811,525,552,536,540,469,503,506,515,606,739,793,872,0.000550922465131402,1.06260079211137,0.0514285714285714,-0.0289855072463768,0.00746268656716409,-0.131481481481482,0.0724946695095949,0.00596421471172959,0.017786561264822,0.176699029126214,0.21947194719472,0.0730717185385656,0.0191602781291752,-0.00434578910806316,-0.0246795391854616,-0.0241228435009733,-0.0884774714877512,0.0203108343152107,0.0338557419118322,0.0242189993262649,-0.0351751834925911,0.112476675757141,0.0148858962986855,0.00866394723236082,"Retail Bakeries","3"
"Austin",311812,661,649,828,1015,1152,1372,1301,1094,1123,991,1145,1035,0.000795468124307005,0.756105982811688,-0.0181543116490166,0.275808936825886,0.225845410628019,0.134975369458128,0.190972222222222,-0.0517492711370262,-0.159108378170638,0.0265082266910421,-0.117542297417631,0.15539858728557,-0.0200796436680229,0.00105153888671694,-0.0117567840549458,-0.0298438309122128,-0.0352848634678053,0.0016380314502038,0.0189628229821566,-0.0851890951110604,-0.0493017598303327,0.0247031034709009,0.0220265727549223,0.00129889072428099,"Commercial Bakeries","3"
"Austin",327320,984,1248,1233,1155,1076,882,837,661,833,785,815,789,0.000566206568829877,0.928894834663834,0.268292682926829,-0.0120192307692307,-0.0632603406326034,-0.0683982683982683,-0.180297397769517,-0.0510204081632653,-0.210274790919952,0.260211800302572,-0.0576230492196879,0.0382165605095541,-0.00647820426782787,0.0521193002029372,-0.0482485008044464,-0.0476400868279002,-0.188494664864756,-0.0807068999801154,-0.0445856428281736,-0.0244792845822956,0.0076150967479911,0.0346063598543194,0.0293859832199357,0.00715046962207955,"Ready-Mix Concrete Manufacturing","3"
"Austin",327390,940,1252,1233,1346,1033,804,764,554,736,920,964,980,0.000669721634787732,1.54751658999628,0.331914893617021,-0.0151757188498403,0.091646390916464,-0.232540861812779,-0.221684414327202,-0.0497512437810945,-0.274869109947644,0.328519855595668,0.25,0.0478260869565217,0.00320452437298132,0.0468127177426949,0.00941458661269778,-0.00591092035109086,-0.201912302980503,-0.110183451890678,-0.0200067320233938,-0.00100895176351889,0.0424832387828777,0.0530785562632696,0.0281670842467898,0.00650117972896326,"Other Concrete Product Manufacturing","3"
"Austin",332322,671,759,818,747,699,785,765,769,831,920,944,949,0.000655826995061845,0.776365360115921,0.131147540983606,0.0777338603425559,-0.08679706601467,-0.0642570281124498,0.123032904148784,-0.0254777070063694,0.00522875816993462,0.0806241872561768,0.107099879663056,0.0260869565217392,0.000951938722017774,0.0493865535462874,-0.0120051575132423,0.0221857750030863,-0.140007936371008,-0.0762448340889941,0.0294708494858347,0.0446389958335531,0.00834031725516726,0.0202777805593664,0.00629122173366836,0.00259728346450671,"Sheet Metal Work Manufacturing","3"
"Austin",332710,879,1157,1178,798,790,694,775,790,871,754,829,815,0.000575932816637997,0.279785204801861,0.316268486916951,0.0181503889369057,-0.32258064516129,-0.0100250626566416,-0.121518987341772,0.11671469740634,0.0193548387096774,0.10253164556962,-0.134328358208955,0.0994694960212201,-0.00343398367018777,0.0496533126379204,0.0382789949103239,-0.0446865289446426,-0.112230492088411,-0.0867682730310586,0.0953652409322454,0.0454961676727939,0.0116008434028059,0.00266152532657804,-0.00119930440344596,0.00139245160318572,"Machine Shops","3"
"Austin",337212,117,166,203,312,377,424,333,399,411,534,487,393,0.000338334477325337,1.03977343242568,0.418803418803419,0.22289156626506,0.536945812807882,0.208333333333333,0.124668435013263,-0.214622641509434,0.198198198198198,0.0300751879699248,0.299270072992701,-0.0880149812734082,-0.0420046403619142,0.0308799365403138,0.0196493349455864,0.317548446217287,-0.144011455456684,-0.165682877285219,-0.0127749770852429,0.122990773515929,-0.0351892520346209,0.0468896446455829,0.0102317491175117,-0.00487833589725436,"Custom Architectural Woodwork and Millwork Manufacturing","3"
"Austin",339116,432,429,457,328,319,287,262,300,273,267,266,273,0.000184798708354291,0.519734240312945,-0.00694444444444442,0.0652680652680653,-0.282275711159737,-0.0274390243902439,-0.100313479623824,-0.0871080139372822,0.145038167938931,-0.09,-0.021978021978022,-0.00374531835205993,0.00551566740958548,0.00986938196386089,-0.0148763404202567,0.0400176178191656,-0.0524532639603121,-0.0393308645128336,-0.0246134077717223,0.0318440956685671,-0.0252481894824892,-0.0151980488686148,-0.010387763993671,-0.00147445923416254,"Dental Laboratories","3"
"Austin",339950,644,894,852,886,777,680,628,726,868,851,891,859,0.000619006199788246,1.00981032824143,0.388198757763975,-0.0469798657718121,0.039906103286385,-0.123024830699774,-0.124839124839125,-0.0764705882352941,0.156050955414013,0.195592286501377,-0.0195852534562212,0.0470035252643948,-0.00736344239555717,0.0487714803402233,0.0071636863823934,-0.00527718899547669,-0.123611919642367,-0.0989735427189211,-0.0084710398931731,-0.00865564019471687,0.00571703506636845,0.0302237230899114,0.0161572290966703,0.00217111792265802,"Sign Manufacturing","3"
"Austin",423110,834,865,872,894,781,721,653,603,926,1283,1247,1437,0.000866330786909026,0.85390923042885,0.0371702637889688,0.00809248554913289,0.025229357798165,-0.126398210290828,-0.0768245838668374,-0.0943134535367545,-0.0765696784073507,0.535655058043118,0.385529157667387,-0.0280592361652378,0.0287219177723951,0.0299903559754546,-0.0224054356382317,0.10540680279028,-0.0802272709846109,-0.0789302565983627,-0.00507756638850176,0.0862770070502616,0.0000334983125225286,-0.0110540728396405,0.0427290355905938,0.00145822217001263,"Automobile and Other Motor Vehicle Merchant Wholesalers","4"
"Austin",423120,1893,1903,1824,2260,2020,1208,1365,1639,1787,1844,1950,2052,0.00135472737327394,0.776933578497237,0.00528262017960901,-0.0415133998949028,0.239035087719298,-0.106194690265487,-0.401980198019802,0.129966887417219,0.200732600732601,0.0902989627821842,0.0318970341354226,0.0574837310195229,0.010258977997074,-0.0141495827240806,-0.0364391260260013,0.126844260149321,-0.0808735044720641,-0.0185978091083263,0.0149943339857834,0.000822122191716845,0.0254952766805434,0.0171132460776995,0.0288524175749385,0.0032352649282342,"Motor Vehicle Supplies and New Parts Merchant Wholesalers","4"
"Austin",423130,380,408,432,332,287,279,277,307,376,398,394,422,0.000273724402599965,0.898206616566612,0.0736842105263158,0.0588235294117647,-0.231481481481482,-0.135542168674699,-0.0278745644599303,-0.00716845878136196,0.108303249097473,0.224755700325733,0.0585106382978724,-0.0100502512562815,0.0138038052981245,0.0426345912527164,-0.0294722010215465,0.0312140826326297,-0.0830058074734558,-0.0284672466734903,0.0195561993810496,0.0724296047532937,0.10433290174942,0.0152143090849601,-0.00660686469355964,0.00454276512453214,"Tire and Tube Merchant Wholesalers","4"
"Austin",423140,153,149,120,106,101,90,78,44,25,37,31,32,0.0000215366915751241,0.138525801212752,-0.0261437908496732,-0.194630872483222,-0.116666666666667,-0.0471698113207547,-0.108910891089109,-0.133333333333333,-0.435897435897436,-0.431818181818182,0.48,-0.162162162162162,0.00443568408386853,-0.0119543237778043,0.0154096189730935,0.0850080028454561,-0.111074687209747,0.0256914566687154,0.0106064237775647,0.190572190927957,-0.118382389561233,0.0203366851203255,0.0447348023474698,0.00253088022816126,"Motor Vehicle Parts (Used) Merchant Wholesalers","4"
"Austin",423310,1027,1541,1089,1302,929,981,899,1001,1020,1076,1215,1188,0.000844099363347608,0.932408897696746,0.500486854917235,-0.293316028552888,0.195592286501377,-0.286482334869432,0.0559741657696449,-0.0835881753312946,0.113459399332592,0.0189810189810189,0.0549019607843138,0.129182156133829,-0.00440612024113274,0.0210777186937789,-0.0643399563091647,-0.0383289788203902,-0.19464435388306,-0.104505733101258,-0.0474501552950606,-0.00114647537707468,0.0519665139788343,0.0564064064064065,0.0411522243805373,0.0128177076818794,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers","4"
"Austin",423320,368,408,402,502,375,390,383,369,378,484,474,479,0.000329302961503511,1.29377613035974,0.108695652173913,-0.0147058823529411,0.248756218905473,-0.252988047808765,0.04,-0.017948717948718,-0.0365535248041775,0.024390243902439,0.28042328042328,-0.0206611570247934,0.00224980504663678,0.0876796663604995,-0.00467876298071435,-0.066383856913552,-0.084661672602235,-0.0635665986905656,-0.0862775437691624,-0.0977170095333668,0.0352773529820658,-0.00104072246281939,0.0382107810189543,0.000161669146408816,"Brick, Stone, and Related Construction Material Merchant Wholesalers","4"
"Austin",423330,386,405,487,442,390,527,396,316,330,399,406,401,0.000282061186435497,0.924213872976932,0.0492227979274611,0.202469135802469,-0.0924024640657084,-0.117647058823529,0.351282051282051,-0.248576850094877,-0.202020202020202,0.0443037974683544,0.209090909090909,0.0175438596491229,-0.00247397002898543,0.0673753321869626,-0.128148799062683,-0.0938182429027381,-0.0787530509469522,0.0742169159568047,-0.0704629889794262,0.0460468865453081,0.026103708460427,0.128168220789787,0.0274033394352915,0.0137200052639916,"Roofing, Siding, and Insulation Material Merchant Wholesalers","4"
"Austin",423390,191,204,272,414,428,400,369,362,307,333,370,318,0.000257050834928901,0.784607645988193,0.0680628272251309,0.333333333333333,0.522058823529412,0.0338164251207729,-0.0654205607476636,-0.0775,-0.018970189701897,-0.151933701657459,0.0846905537459284,0.111111111111111,-0.0296573746169255,0.0637239396117901,0.155145846286935,0.0878305640065529,-0.191962653012929,-0.119435569755059,-0.0252464171252343,0.113216911194516,-0.0149628019727494,0.0728388775741118,0.0484351517388668,-0.0013211324635783,"Other Construction Material Merchant Wholesalers","4"
"Austin",423710,524,626,476,467,450,438,482,512,491,516,506,512,0.00035153438506493,0.475154014208413,0.194656488549618,-0.23961661341853,-0.0189075630252101,-0.0364025695931478,-0.0266666666666666,0.100456621004566,0.0622406639004149,-0.041015625,0.0509164969450102,-0.0193798449612403,0.00254495423772744,0.012454417298708,-0.0200340613564705,0.04591303530959,-0.0763660450651727,-0.0828744727661695,0.0263084650965528,0.0679012345679013,0.031150990398336,0.0289199014893866,0.0234795294975836,0.00551562607222154,"Hardware Merchant Wholesalers","4"
"Austin",423720,0,0,0,0,0,0,0,0,502,530,505,504,0.000350839653078635,0.582932112199868,NA,NA,NA,NA,NA,NA,NA,NA,0.0557768924302788,-0.0471698113207547,-0.000206606393180851,NA,NA,NA,NA,NA,NA,NA,NA,0.00117094366773407,0.0293520840966097,0.00165069916693107,"Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers","4"
"Austin",423730,611,630,734,587,981,910,908,978,999,1006,968,902,0.000672500562732909,1.35740856625119,0.0310965630114566,0.165079365079365,-0.200272479564033,0.671209540034072,-0.0723751274209989,-0.00219780219780219,0.0770925110132159,0.0214723926380369,0.00700700700700696,-0.0377733598409543,-0.014119910381862,0.0464872160155958,-0.00976212653148956,0.0298645153121213,-0.0257315488109039,-0.0671185707332024,0.0845475978819619,0.0636303700931915,0.0318468136433694,-0.0363515334534769,0.0131077939144792,-0.000344710487153147,"Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers","4"
