"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Detroit",212312,15,16,24,8,6,7,7,6,7,8,7,0.00000371916480309945,0.0168668588819444,0.0666666666666667,0.5,-0.666666666666667,-0.25,0.166666666666667,0,-0.142857142857143,0.166666666666667,0.142857142857143,-0.125,0.000584415584415596,0.0256035825545171,0.127638031956969,-0.124358146973821,-0.0792450411766591,-0.0512633117561078,0.00630937969993761,-0.0630262822148507,0.0593681917211328,-0.0182886522218142,0.00115965883585223,-0.00131285721759531,"Crushed and Broken Limestone Mining and Quarrying","2"
"Detroit",212319,3,2,0,8,7,46,40,57,76,46,47,0.0000249715351065249,0.445063225930384,-0.333333333333333,-1,NA,-0.125,5.57142857142857,-0.130434782608696,0.425,0.333333333333333,-0.394736842105263,0.0217391304347827,0.0305896823745794,-0.0250292397660818,0.127159309021113,-0.0970625798212005,-0.10997171145686,0.00582704277579138,-0.0662277814351547,-0.205724760293288,0.106692703710279,0.00850176451716389,0.0831875298234452,0.00486551855585009,"Other Crushed and Broken Stone Mining and Quarrying","2"
"Detroit",212321,311,287,264,184,132,179,160,161,168,142,189,0.000100417449683685,0.56722711848801,-0.0771704180064309,-0.0801393728222997,-0.303030303030303,-0.282608695652174,0.356060606060606,-0.106145251396648,0.00625000000000009,0.0434782608695652,-0.154761904761905,0.330985915492958,0.0320482565267629,0.0377519462514664,0.0489500907751859,-0.203383188557246,-0.183487742887595,0.0474947283863842,-0.0429927147239264,-0.0630540391646216,0.0863267051528758,0.0485164591841756,0.00835327795767049,0.00879842242926053,"Construction Sand and Gravel Mining","2"
"Detroit",212322,20,22,20,21,19,20,23,6,0,3,1,0.000000531309257585635,0.0122785263915101,0.1,-0.0909090909090909,0.05,-0.0952380952380952,0.0526315789473684,0.15,-0.739130434782609,-1,NA,-0.666666666666667,-0.0808966361285895,0.134909596662031,0.0349264705882353,-0.0497335701598579,1.11433021806854,-0.580963606895536,0.234528832630098,0.154371973796639,0.075993091537133,0.0364595276312771,0.161946902654867,-0.00716170807011079,"Industrial Sand Mining","2"
"Detroit",212325,3,3,7,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,-1,NA,NA,NA,NA,NA,NA,NA,-0.0262626262626263,-0.0454303931987248,-0.188700250487058,-0.142024013722127,-0.0591763294682127,-0.08244793880153,0.0569708198239927,0.0486415425065732,0.0422064354366904,0.0453087409783481,-0.0199462984273111,0.0197057237184517,"Clay, Ceramic, and Refractory Minerals Mining","2"
"Detroit",212393,36,40,75,37,40,36,35,68,37,58,71,0.0000377229572885801,1.84470759999314,0.111111111111111,0.875,-0.506666666666667,0.0810810810810811,-0.1,-0.0277777777777778,0.942857142857143,-0.455882352941177,0.567567567567568,0.224137931034483,0.0107677959300677,0.0216400911161732,0.0808249721293199,-0.100051572975761,0.00343839541547286,0.0942318675042833,-0.0109603340292276,0.0427440633245382,-0.0232793522267206,0.149222797927461,0.1190261496844,0.0106172437190298,"Other Chemical and Fertilizer Mineral Mining","2"
"Detroit",212399,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0171239942232309,-0.0537363560033586,-0.143744454303461,-0.0686528497409327,-0.105146036161335,0.137395088591856,0.0161246242142663,-0.149004841312534,0.00821744627054355,0.0407523510971788,0.00863718385075409,"All Other Nonmetallic Mineral Mining","2"
"Detroit",213111,18,13,11,8,8,5,3,6,8,5,4,0.00000212523703034254,0.00391416340317816,-0.277777777777778,-0.153846153846154,-0.272727272727273,0,-0.375,-0.4,1,0.333333333333333,-0.375,-0.2,0.0312559158013703,0.250792462248846,0.41931235407978,-0.142479543345612,-0.12181925498426,-0.034315372838953,0.219588585569562,0.216305760755842,-0.0657786698293952,0.0571847098214286,-0.13035273624619,-0.026141920745781,"Drilling Oil and Gas Wells","2"
"Detroit",213112,4,8,6,84,91,43,13,13,15,15,12,0.00000637571109102762,0.00306744140266427,1,-0.25,13,0.0833333333333333,-0.527472527472527,-0.697674418604651,0,0.153846153846154,0,-0.2,-0.446672552253948,0.213003679440007,0.408362001997558,-0.0173354608671671,-0.0240429271161183,-0.0155356690471137,0.154741205436007,0.279779077401208,0.0723210798040315,0.0823568136932191,0.022954808101697,-0.0149239428411156,"Support Activities for Oil and Gas Operations","2"
"Detroit",213113,14,0,0,0,2,0,3,2,3,0,0,0,0,-1,NA,NA,NA,-1,NA,-0.333333333333333,0.5,-1,NA,0.0272727272727273,0.370973269362577,-0.0253718285214348,0.0769428058476533,0.118242438675875,-0.106378447449686,0.104385128693994,0.0276219249028917,-0.255984880302394,-0.119531470505222,-0.123898060586632,-0.0414466415718479,"Support Activities for Coal Mining","2"
